n,k,M,p,r,Tp,Tc,f,cl,cm,cu,cv
2048,32,1749654,5,21953,1678767398,597072623,3,1,682.667,2046,929339
2048,32,1770878,5,22273,1647989766,606897999,1,2048,2048,2048,0
32768,1,7263034,6,2066,1520600217,3959002885,2,1,16384,32767,2.68403e+08
32768,1,7296214,6,1820,1515372230,3712463141,2,1,16384,32767,2.68403e+08
32768,1,7296766,6,1778,1567168281,4007579713,2,1,16384,32767,2.68403e+08
32768,2,7275440,6,4131,806281431,2019754896,2,1,16384,32767,2.68403e+08
32768,2,7307144,6,3639,801574874,2024631594,2,1,16384,32767,2.68403e+08
32768,2,7307444,6,3555,832177833,2004300930,2,1,16384,32767,2.68403e+08
32768,4,7325032,6,8261,417734531,1029000435,2,1,16384,32767,2.68403e+08
32768,4,7350124,6,7109,457288783,1010573018,2,1,16384,32767,2.68403e+08
32768,4,7350832,6,7277,417721176,1041271529,2,1,16384,32767,2.68403e+08
32768,8,7520780,6,14217,233589031,617719335,2,1,16384,32767,2.68403e+08
32768,8,7523336,6,16521,235155279,627567593,2,1,16384,32767,2.68403e+08
32768,8,7525520,6,14553,232179096,604829147,2,1,16384,32767,2.68403e+08
4096,16,1071242,5,10849,479424224,228635544,1,4096,4096,4096,0
4096,16,1131784,5,12833,507086951,261358128,4,1,1024,4093,3.13959e+06
4096,16,1163362,5,13889,544153450,278338363,1,4096,4096,4096,0
4096,32,2112874,5,21697,1626954861,668617669,1,4096,4096,4096,0
4096,32,2363880,5,25665,1642547195,736937923,4,1,1024,4093,3.13959e+06
4096,32,2496834,5,27777,1650578000,880936810,1,4096,4096,4096,0
65536,1,15038188,6,2166,3452947409,8921279781,1,65536,65536,65536,0
65536,1,15055662,6,2123,3422613962,8912118654,1,65536,65536,65536,0
65536,1,15058870,6,2236,3416276164,8522597881,4,1,16384,65533,8.05208e+08
65536,2,15051194,6,4331,1795789348,4475801173,1,65536,65536,65536,0
65536,2,15068410,6,4245,1786143009,4493328554,1,65536,65536,65536,0
65536,2,15072296,6,4471,1800142397,4496205380,4,1,16384,65533,8.05208e+08
65536,4,15103186,6,8661,916998606,2216206939,1,65536,65536,65536,0
65536,4,15119370,6,8489,931653835,2209276125,1,65536,65536,65536,0
65536,4,15125968,6,8941,918678930,2221948963,4,1,16384,65533,8.05208e+08
65536,8,15311090,6,17321,498760953,1254538679,1,65536,65536,65536,0
65536,8,15323146,6,16977,503604488,1254358265,1,65536,65536,65536,0
65536,8,15340592,6,17881,501792771,1254898999,4,1,16384,65533,8.05208e+08
8192,16,1931488,5,13281,506403721,304390472,4,1,2048,8189,1.25706e+07
8192,16,2027822,5,16257,534925061,359976510,1,8192,8192,8192,0
8192,16,2065912,5,17281,492214262,407231278,2,1,4096,8191,1.6769e+07
8192,32,3206592,5,26561,1656265695,859759834,4,1,2048,8189,1.25706e+07
8192,32,3588622,5,32513,1640956142,1012723443,1,8192,8192,8192,0
8192,32,3725016,5,34561,1640837261,1072725398,2,1,4096,8191,1.6769e+07
131072,1,31023812,6,2270,7719917616,20391721717,1,131072,131072,131072,0
