n,k,M,p,r,Tp,Tc,f,cl,cm,cu,cv
32768,1,1273650,5,296,264495168,861103166,19565,1,1.67483,165,7.00962
32768,2,1249650,5,503,133798420,422803265,19845,1,1.6512,76,5.17398
32768,2,1260730,5,605,134608747,431432298,19727,1,1.66107,112,5.45192
32768,2,1275434,5,591,135593658,431054448,19565,1,1.67483,165,7.00962
32768,4,1255702,5,1005,71828170,212747922,19845,1,1.6512,76,5.17398
32768,4,1268006,5,1209,71782914,212048281,19727,1,1.66107,112,5.45192
32768,4,1282542,5,1181,71879585,212943377,19565,1,1.67483,165,7.00962
32768,8,1279854,5,2009,52191603,125130753,19845,1,1.6512,76,5.17398
32768,8,1297054,5,2417,45634964,124642036,19727,1,1.66107,112,5.45192
32768,8,1310918,5,2361,47285596,125149963,19565,1,1.67483,165,7.00962
4096,16,221274,4,2545,514709785,66938189,2437,1,1.68076,52,5.52467
4096,16,226290,4,2737,502461882,66181685,2447,1,1.67389,38,5.02156
4096,16,269198,5,3393,482943210,79076597,2429,1,1.68629,52,6.78755
4096,32,465690,4,5089,1693530092,204049264,2437,1,1.68076,52,5.52467
4096,32,489138,4,5473,1646979886,187105479,2447,1,1.67389,38,5.02156
4096,32,595054,5,6785,1654417336,221332569,2429,1,1.68629,52,6.78755
65536,1,2528074,5,300,537132378,1864985952,39307,1,1.66729,85,5.54443
65536,1,2541650,5,325,540250559,1875767024,39100,1,1.67611,85,5.37054
65536,1,2552720,5,324,545460112,1887213199,38990,1,1.68084,100,5.9678
65536,2,2529882,5,599,273357138,933962318,39307,1,1.66729,85,5.54443
65536,2,2543608,5,649,276097366,953406184,39100,1,1.67611,85,5.37054
65536,2,2554672,5,647,278125784,943851800,38990,1,1.68084,100,5.9678
65536,4,2537086,5,1197,140441880,437922922,39307,1,1.66729,85,5.54443
65536,4,2551412,5,1297,144612952,446331502,39100,1,1.67611,85,5.37054
65536,4,2562452,5,1293,140212706,445233490,38990,1,1.68084,100,5.9678
65536,8,2565846,5,2393,81173168,246174832,39307,1,1.66729,85,5.54443
65536,8,2582572,5,2593,83044660,248489070,39100,1,1.67611,85,5.37054
65536,8,2593516,5,2585,77802228,249031169,38990,1,1.68084,100,5.9678
8192,16,347222,4,2353,508223880,67277757,4967,1,1.64929,64,4.50555
8192,16,354266,4,2417,544036297,86808210,4903,1,1.67081,48,5.2455
8192,16,382124,4,3281,480312378,79686909,4904,1,1.67047,106,6.94932
8192,32,573206,4,4705,1616435996,185265040,4967,1,1.64929,64,4.50555
8192,32,586394,4,4833,1640568473,192261604,4903,1,1.67081,48,5.2455
8192,32,697196,4,6561,1664456078,223172993,4904,1,1.67047,106,6.94932
131072,1,5046254,5,316,1153318193,4040172822,78775,1,1.66388,121,5.72413
131072,1,5686358,6,503,1144474708,4608365256,78603,1,1.66752,267,6.27639
131072,2,5048158,5,631,568865488,2020971156,78775,1,1.66388,121,5.72413
131072,2,5689386,6,1005,567560247,2299403963,78603,1,1.66752,267,6.27639
131072,4,5055746,5,1261,280448685,956055200,78775,1,1.66388,121,5.72413
131072,4,5701466,6,2009,287069320,1099358583,78603,1,1.66752,267,6.27639
131072,8,5086042,5,2521,155128443,516544678,78775,1,1.66388,121,5.72413
131072,8,5749722,6,4017,151965068,596807451,78603,1,1.66752,267,6.27639
16384,16,637326,4,2801,477369871,90352278,9901,1,1.65478,70,4.52339
16384,16,753038,5,3889,521771261,111318336,9865,1,1.66082,65,4.89357
16384,16,800608,5,5345,519531013,132212180,9872,1,1.65964,151,8.05981
16384,32,1126510,5,7777,893067574,237133815,9865,1,1.66082,65,4.89357
16384,32,1313856,5,10689,1616362052,342097680,9872,1,1.65964,151,8.05981
16384,32,906318,4,5601,1636770647,225016180,9901,1,1.65478,70,4.52339
32768,16,1376350,5,4017,531807947,146047661,19845,1,1.6512,76,5.17398
32768,16,1413134,5,4833,492673787,210930002,19727,1,1.66107,112,5.45192
32768,16,1424310,5,4721,520199011,162126038,19565,1,1.67483,165,7.00962
32768,32,1762110,5,8033,1624759682,325949786,19845,1,1.6512,76,5.17398
32768,32,1877230,5,9665,1667454980,362152493,19727,1,1.66107,112,5.45192
32768,32,1877654,5,9441,1636407154,354999174,19565,1,1.67483,165,7.00962
65536,16,2680774,5,4785,628839945,399313431,39307,1,1.66729,85,5.54443
65536,16,2707100,5,5185,542748192,230511932,39100,1,1.67611,85,5.37054
65536,16,2717660,5,5169,518281893,230169040,38990,1,1.68084,100,5.9678
65536,32,3140262,5,9569,1389938917,412155319,39307,1,1.66729,85,5.54443
65536,32,3204988,5,10369,1692709724,441496532,39100,1,1.67611,85,5.37054
65536,32,3214012,5,10337,1719034933,446531701,38990,1,1.68084,100,5.9678
131072,16,5207114,5,5041,582268438,381277804,78775,1,1.66388,121,5.72413
131072,16,5942618,6,8033,565410538,470531696,78603,1,1.66752,267,6.27639
131072,32,5691178,5,10081,1680756094,542720254,78775,1,1.66388,121,5.72413
131072,32,6713946,6,16065,1692923135,698313826,78603,1,1.66752,267,6.27639
