n,k,M,r,Tp,Tc,f,cl,cm,cu,cv
32768,2,1909403,17,847321943,609111684,2,1,16384,32767,2.68403e+08
32768,4,1960149,15,502251590,198164938,2,1,16384,32767,2.68403e+08
32768,4,1964127,15,513355418,229714606,2,1,16384,32767,2.68403e+08
32768,4,1966587,17,641069690,219575364,2,1,16384,32767,2.68403e+08
32768,8,2032693,15,329241846,150158801,2,1,16384,32767,2.68403e+08
32768,8,2036790,15,339334696,142262411,2,1,16384,32767,2.68403e+08
32768,8,2040000,17,381138078,138299820,2,1,16384,32767,2.68403e+08
4096,16,227295,14,282998434,19564475,1,4096,4096,4096,0
4096,16,229890,17,265600741,20988720,4,1,1024,4093,3.13959e+06
4096,16,230282,14,275463594,19415651,1,4096,4096,4096,0
4096,32,275591,14,1639053608,44292870,1,4096,4096,4096,0
4096,32,278888,14,1761838113,44181522,1,4096,4096,4096,0
4096,32,287876,17,1666982876,54402294,4,1,1024,4093,3.13959e+06
65536,1,3955654,16,3546177783,2225756969,1,65536,65536,65536,0
65536,1,3961294,16,3594966051,2242899984,1,65536,65536,65536,0
65536,1,3965749,17,3620725490,2269723515,4,1,16384,65533,8.05208e+08
65536,2,4020926,16,1885456024,1384729922,1,65536,65536,65536,0
65536,2,4026563,16,1883651177,1374082496,1,65536,65536,65536,0
65536,2,4031046,17,1894201082,1393369649,4,1,16384,65533,8.05208e+08
65536,4,4136993,16,899852918,451062462,1,65536,65536,65536,0
65536,4,4142529,16,861932806,464563593,1,65536,65536,65536,0
65536,4,4147064,17,835971733,451804383,4,1,16384,65533,8.05208e+08
65536,8,4287540,16,535248385,274342966,1,65536,65536,65536,0
65536,8,4293313,16,543071413,274044602,1,65536,65536,65536,0
65536,8,4298760,17,530857897,270633183,4,1,16384,65533,8.05208e+08
8192,16,462235,17,336870594,74451879,4,1,2048,8189,1.25706e+07
8192,16,471010,14,329861176,28661984,1,8192,8192,8192,0
8192,16,474757,15,269112564,29616523,2,1,4096,8191,1.6769e+07
8192,32,523835,14,1670839707,53963014,1,8192,8192,8192,0
8192,32,530830,15,1697083298,55941096,2,1,4096,8191,1.6769e+07
8192,32,536889,17,1794141027,56844851,4,1,2048,8189,1.25706e+07
131072,1,8371054,16,8026918576,5110262588,1,131072,131072,131072,0
131072,1,8382832,18,7798204869,4919700479,3,1,43690.7,131070,3.81757e+09
131072,2,8501591,16,4228402186,3208826991,1,131072,131072,131072,0
131072,2,8513448,18,4219886587,3171402104,3,1,43690.7,131070,3.81757e+09
131072,4,8737793,16,1635831035,978492119,1,131072,131072,131072,0
131072,4,8749748,18,1681118505,985099203,3,1,43690.7,131070,3.81757e+09
131072,8,9052851,16,927642193,600215053,1,131072,131072,131072,0
131072,8,9065270,18,932368765,595324087,3,1,43690.7,131070,3.81757e+09
16384,16,1001450,16,329402247,50097675,3,1,5461.33,16382,5.96305e+07
16384,16,994175,16,305889006,49886169,3,1,5461.33,16382,5.96305e+07
16384,16,998033,18,336734842,53134766,5,1,3276.8,16380,4.29235e+07
16384,32,1028802,18,1011219846,198822662,5,1,3276.8,16380,4.29235e+07
16384,32,1063614,16,1780105665,73429318,3,1,5461.33,16382,5.96305e+07
16384,32,1070853,16,1717172869,74863094,3,1,5461.33,16382,5.96305e+07
32768,16,2105248,15,374323468,97952513,2,1,16384,32767,2.68403e+08
32768,16,2109381,15,399367689,101419868,2,1,16384,32767,2.68403e+08
32768,16,2114157,17,399626024,97513618,2,1,16384,32767,2.68403e+08
32768,32,2194155,15,1709985468,109127138,2,1,16384,32767,2.68403e+08
32768,32,2197994,15,1764790704,108637987,2,1,16384,32767,2.68403e+08
32768,32,2209597,17,1769474116,118088168,2,1,16384,32767,2.68403e+08
65536,16,4431119,16,514396016,209351980,1,65536,65536,65536,0
65536,16,4436901,16,519587015,185384918,1,65536,65536,65536,0
65536,16,4443747,17,486100233,218233218,4,1,16384,65533,8.05208e+08
65536,32,4572338,16,1771070187,199688284,1,65536,65536,65536,0
65536,32,4578634,16,1756919963,196328333,1,65536,65536,65536,0
65536,32,4588566,17,1854790474,197942411,4,1,16384,65533,8.05208e+08
131072,16,9349954,16,748741479,376816078,1,131072,131072,131072,0
131072,16,9364957,18,782717994,467637644,3,1,43690.7,131070,3.81757e+09
131072,32,9600188,16,2111534454,432045692,1,131072,131072,131072,0
131072,32,9622219,18,2079586543,455134250,3,1,43690.7,131070,3.81757e+09
