n,k,M,p,r,Tp,Tc,f,cl,cm,cu,cv
65536,1,14992690,5,1491,4065197196,8500308348,2,1,32768,65535,1.07368e+09
65536,1,16510216,6,2286,4009482142,9256664918,1,65536,65536,65536,0
65536,1,16543350,6,2213,4092240639,9384162446,1,65536,65536,65536,0
65536,2,15001644,5,2981,2130105017,4460035507,2,1,32768,65535,1.07368e+09
65536,2,16523942,6,4571,2114814541,4876691015,1,65536,65536,65536,0
65536,2,16556638,6,4425,2117953174,4784391478,1,65536,65536,65536,0
65536,4,15037432,5,5961,1092219876,2157459591,2,1,32768,65535,1.07368e+09
65536,4,16578814,6,9141,1085632256,2368838473,1,65536,65536,65536,0
65536,4,16609758,6,8849,1089005540,2378751110,1,65536,65536,65536,0
65536,8,15180528,5,11921,586717286,1195143058,2,1,32768,65535,1.07368e+09
65536,8,16798238,6,18281,587727530,1349208930,1,65536,65536,65536,0
65536,8,16822174,6,17697,585068585,1331870929,1,65536,65536,65536,0
8192,16,2087082,5,13217,582938987,313359642,1,8192,8192,8192,0
8192,16,2146384,5,15185,531926401,353644149,2,1,4096,8191,1.6769e+07
8192,16,2201318,5,17057,527953020,378858750,1,8192,8192,8192,0
8192,32,3356042,5,26433,1645008064,879455735,1,8192,8192,8192,0
8192,32,3604272,5,30369,1617209479,973728330,2,1,4096,8191,1.6769e+07
8192,32,3838918,5,34113,1648289973,1068644343,1,8192,8192,8192,0
84498,1,10602170,6,1216,1312761726,7129797724,2,4,42249,84494,1.78464e+09
84498,2,10609476,6,2431,678567670,3568689472,2,4,42249,84494,1.78464e+09
84498,4,10638668,6,4861,343949696,1760720365,2,4,42249,84494,1.78464e+09
84498,8,10755372,6,9721,187142586,980869550,2,4,42249,84494,1.78464e+09
131072,1,34134840,6,2992,9233381650,22464328081,1,131072,131072,131072,0
131072,1,34169972,6,2084,9180557458,22426475749,1,131072,131072,131072,0
131072,2,34152802,6,5983,4805621195,11140823479,1,131072,131072,131072,0
131072,2,34182486,6,4167,4775566166,11286104025,1,131072,131072,131072,0
131072,4,34224618,6,11965,2417696453,5212162287,1,131072,131072,131072,0
131072,4,34232510,6,8333,2418395854,5213616619,1,131072,131072,131072,0
131072,8,34432542,6,16665,1299467730,2780714615,1,131072,131072,131072,0
131072,8,34511818,6,23929,1308475048,2898210290,1,131072,131072,131072,0
16384,16,4067818,5,18753,537763610,510785469,1,16384,16384,16384,0
16384,16,4110282,5,20033,545911154,532066261,1,16384,16384,16384,0
16384,16,4601562,6,23601,740234884,732017022,1,16384,16384,16384,0
16384,32,5868234,5,37505,1663506205,1344127337,1,16384,16384,16384,0
16384,32,6033578,5,40065,1682304295,1407825254,1,16384,16384,16384,0
16384,32,6867418,6,47201,1756683277,1667700279,1,16384,16384,16384,0
32768,16,7980566,5,24481,660860086,795974375,1,32768,32768,32768,0
32768,16,8715180,6,23217,659477770,795881933,2,1,16384,32767,2.68403e+08
32768,16,8852018,6,26977,647815348,875497605,1,32768,32768,32768,0
32768,32,10330870,5,48961,1762914576,1996083766,1,32768,32768,32768,0
32768,32,10944172,6,46433,1718288803,1940098596,2,1,16384,32767,2.68403e+08
32768,32,11441970,6,53953,1768268525,2204401545,1,32768,32768,32768,0
65536,16,15752800,5,23841,823264613,1136674677,2,1,32768,65535,1.07368e+09
65536,16,17671710,6,35393,853744077,1426897724,1,65536,65536,65536,0
65536,16,17675806,6,36561,831321737,1468713450,1,65536,65536,65536,0
65536,32,18041664,5,47681,1820330574,2406631394,2,1,32768,65535,1.07368e+09
65536,32,21069598,6,70785,1843769507,3349949826,1,65536,65536,65536,0
65536,32,21185822,6,73121,1808832237,3347093708,1,65536,65536,65536,0
84498,16,11222060,6,19441,612713807,945215977,2,4,42249,84494,1.78464e+09
84498,32,13088556,6,38881,1717735816,1883435720,2,4,42249,84494,1.78464e+09
131072,16,35232542,6,33329,1187471868,2173466332,1,131072,131072,131072,0
131072,16,35660490,6,47857,1213091716,2509905060,1,131072,131072,131072,0
131072,32,38432286,6,66657,1967802536,3637767175,1,131072,131072,131072,0
131072,32,40254922,6,95713,2028724731,5143219480,1,131072,131072,131072,0
