n,k,M,r,Tp,Tc,f,cl,cm,cu,cv
4096,16,5914124,5418,300827255,1683252779,2437,1,1.68076,52,5.52467
4096,32,22432736,5308,1722560379,6495801314,2447,1,1.67389,38,5.02156
4096,32,22501355,5325,1737302775,6583351350,2429,1,1.68629,52,6.78755
4096,32,22889185,5418,1721783642,6591243732,2437,1,1.68076,52,5.52467
65536,1,1232524,85446,581964297,453166349,38990,1,1.68084,100,5.9678
65536,1,1232951,85867,575929855,446646477,39307,1,1.66729,85,5.54443
65536,1,1233920,85792,582329167,457948467,39100,1,1.67611,85,5.37054
65536,2,2592061,85446,295392142,1137762460,38990,1,1.68084,100,5.9678
65536,2,2598628,85792,294334970,1134606252,39100,1,1.67611,85,5.37054
65536,2,2599436,85867,294370921,1109536240,39307,1,1.66729,85,5.54443
65536,4,7351676,85446,249420301,3755927703,38990,1,1.68084,100,5.9678
65536,4,7377093,85792,312806859,3785253006,39100,1,1.67611,85,5.37054
65536,4,7383298,85867,245021346,3803986601,39307,1,1.66729,85,5.54443
65536,8,25067191,85446,221561802,8386898776,38990,1,1.68084,100,5.9678
65536,8,25163613,85792,192445591,8292094935,39100,1,1.67611,85,5.37054
65536,8,25188097,85867,185424145,8517141636,39307,1,1.66729,85,5.54443
8192,16,11610686,10629,260969344,3280351050,4904,1,1.67047,106,6.94932
8192,16,11642314,10659,279399582,3661134842,4903,1,1.67081,48,5.2455
8192,16,11788210,10794,295930584,3306440727,4967,1,1.64929,64,4.50555
8192,32,44918594,10629,1690132748,13635017402,4904,1,1.67047,106,6.94932
8192,32,45043294,10659,1658788659,13006477668,4903,1,1.67081,48,5.2455
8192,32,45612306,10794,1705922147,13518060877,4967,1,1.64929,64,4.50555
131072,1,2463279,171305,1232102668,938761978,78603,1,1.66752,267,6.27639
131072,1,2466254,171960,1228956448,938196976,78775,1,1.66388,121,5.72413
131072,2,5190264,171305,1218391743,5272187192,78603,1,1.66752,267,6.27639
131072,2,5203050,171960,1216005041,5054192349,78775,1,1.66388,121,5.72413
131072,4,14735634,171305,385072029,7446095340,78603,1,1.66752,267,6.27639
131072,4,14783624,171960,449224537,7544799277,78775,1,1.66388,121,5.72413
131072,8,50259290,171305,256743958,16564615694,78603,1,1.66752,267,6.27639
131072,8,50440946,171960,276082274,16803752532,78775,1,1.66388,121,5.72413
16384,16,22932693,20982,260042861,6681185647,9872,1,1.65964,151,8.05981
16384,16,23528974,21547,283466268,6574071628,9865,1,1.66082,65,4.89357
16384,16,23640689,21651,297515296,6832824792,9901,1,1.65478,70,4.52339
16384,32,88694361,20982,1652509475,27038218606,9872,1,1.65964,151,8.05981
16384,32,91043938,21547,1705302910,27202735299,9865,1,1.66082,65,4.89357
16384,32,91480788,21651,1715730844,27579912365,9901,1,1.65478,70,4.52339
32768,16,46571517,42642,304288170,12983676448,19565,1,1.67483,165,7.00962
32768,16,46822639,42866,273545872,14291522566,19845,1,1.6512,76,5.17398
32768,16,46997060,43037,298152594,13092252149,19727,1,1.66107,112,5.45192
32768,32,180186323,42642,1658995542,54702105393,19565,1,1.67483,165,7.00962
32768,32,181150660,42866,1653639625,53595322330,19845,1,1.6512,76,5.17398
32768,32,181848296,43037,1672410443,56844120660,19727,1,1.66107,112,5.45192
65536,16,93306250,85446,293173664,26025674629,38990,1,1.68084,100,5.9678
65536,16,93677344,85792,303820546,26042739120,39100,1,1.67611,85,5.37054
65536,16,93767320,85867,298151568,25967621440,39307,1,1.66729,85,5.54443
65536,32,361028221,85446,1674308751,107396762076,38990,1,1.68084,100,5.9678
65536,32,362480353,85792,1673935391,107926392131,39100,1,1.67611,85,5.37054
65536,32,362816372,85867,1676167165,108349693509,39307,1,1.66729,85,5.54443
131072,16,187080527,171305,314013119,51953136621,78603,1,1.66752,267,6.27639
131072,16,187781287,171960,321670370,56749325131,78775,1,1.66388,121,5.72413
131072,32,723844695,171305,1719610315,218682385569,78603,1,1.66752,267,6.27639
131072,32,726589516,171960,1654110048,215285944229,78775,1,1.66388,121,5.72413
