n,k,M,p,r,Tp,Tc,f,cl,cm,cu,cv
65536,4,13607006,6,7389,765452708,1989445020,9,1,7281.78,65528,4.24078e+08
65536,4,13613850,6,7249,773159049,2000458544,11,1,5957.82,65526,3.54837e+08
65536,8,13784382,6,14777,414173660,1130239296,9,1,7281.78,65528,4.24078e+08
65536,8,13787866,6,14497,417319157,1158359288,11,1,5957.82,65526,3.54837e+08
65536,8,13795500,6,16249,414070636,1167576862,8,1,8192,65529,4.69647e+08
8192,16,1821096,5,14737,521920702,325291906,10,1,819.2,8183,6.02506e+06
8192,16,2155826,6,19441,495404945,408297929,9,1,910.222,8184,6.61348e+06
8192,16,2216132,6,20753,510660410,433635837,10,1,819.2,8183,6.02506e+06
8192,32,3235976,5,29473,1658211432,915005038,10,1,819.2,8183,6.02506e+06
8192,32,4022322,6,38881,1681867115,1163099675,9,1,910.222,8184,6.61348e+06
8192,32,4208580,6,41505,1670796100,1232958545,10,1,819.2,8183,6.02506e+06
131072,1,27841798,6,1874,6294270793,18434607133,16,1,8192,131057,1.00639e+09
131072,1,30955516,7,2759,6296634367,20110895699,7,1,18724.6,131066,2.10343e+09
131072,2,27853052,6,3747,3326317546,9339474065,16,1,8192,131057,1.00639e+09
131072,2,30972082,7,5517,3321062924,10235596335,7,1,18724.6,131066,2.10343e+09
131072,4,27898036,6,7493,1703288213,4312353198,16,1,8192,131057,1.00639e+09
131072,4,31038310,7,11033,1712232346,5004221052,7,1,18724.6,131066,2.10343e+09
131072,8,28077908,6,14985,905835929,2368984020,16,1,8192,131057,1.00639e+09
131072,8,31303150,7,22065,910344071,2696130299,7,1,18724.6,131066,2.10343e+09
16384,16,3289298,5,14801,533134915,398671552,3,1,5461.33,16382,5.96305e+07
16384,16,3357344,5,17057,541997385,446785816,4,1,4096,16381,5.03071e+07
16384,16,3870314,6,21009,524802286,543503890,7,1,2340.57,16378,3.28416e+07
16384,32,4710322,5,29601,1230832982,895647684,3,1,5461.33,16382,5.96305e+07
16384,32,4994944,5,34113,1616943603,1193767092,4,1,4096,16381,5.03071e+07
16384,32,5887338,6,42017,1685227587,1435067776,7,1,2340.57,16378,3.28416e+07
