n,k,M,r,Tp,Tc,f,cl,cm,cu,cv
65536,4,4890483,15,963222722,534691220,2,1,32768,65535,1.07368e+09
65536,8,5044859,14,588961077,305437969,1,65536,65536,65536,0
65536,8,5059773,14,634656510,311048089,1,65536,65536,65536,0
65536,8,5066595,15,586196511,294831737,2,1,32768,65535,1.07368e+09
8192,16,550759,12,316714173,30424983,1,8192,8192,8192,0
8192,16,555818,14,318196819,38177356,1,8192,8192,8192,0
8192,16,556643,15,292889907,45841661,2,1,4096,8191,1.6769e+07
8192,32,600358,12,1678310098,54141396,1,8192,8192,8192,0
8192,32,611710,14,1775167960,58837471,1,8192,8192,8192,0
8192,32,615591,15,1734460387,56247410,2,1,4096,8191,1.6769e+07
84498,1,1341746,26,1366597415,1142947171,2,4,42249,84494,1.78464e+09
84498,2,1368822,26,720902536,657186908,2,4,42249,84494,1.78464e+09
84498,4,1398451,26,485634752,219530307,2,4,42249,84494,1.78464e+09
84498,8,1434779,26,298513226,138975929,2,4,42249,84494,1.78464e+09
131072,1,9908902,14,9479082478,6053587860,1,131072,131072,131072,0
131072,1,9929342,14,9256370226,6019142556,1,131072,131072,131072,0
131072,2,10039975,14,5007544480,3686312467,1,131072,131072,131072,0
131072,2,10060393,14,4965850282,3643880845,1,131072,131072,131072,0
131072,4,10287668,14,1916771542,1117583249,1,131072,131072,131072,0
131072,4,10308168,14,2038297123,1115849773,1,131072,131072,131072,0
131072,8,10650522,14,1088057042,655651704,1,131072,131072,131072,0
131072,8,10672388,14,1082759849,679899540,1,131072,131072,131072,0
16384,16,1172213,14,311728349,53279815,1,16384,16384,16384,0
16384,16,1172794,14,342871775,52384294,1,16384,16384,16384,0
16384,16,1173107,14,349589161,52616125,1,16384,16384,16384,0
16384,32,1217926,14,1575610244,149498812,1,16384,16384,16384,0
16384,32,1241865,14,1687129067,76647184,1,16384,16384,16384,0
16384,32,1242662,14,1738025854,76435497,1,16384,16384,16384,0
32768,16,2468131,15,411247539,103923822,2,1,16384,32767,2.68403e+08
32768,16,2469662,14,395118709,103219915,1,32768,32768,32768,0
32768,16,2477201,14,411659677,102019097,1,32768,32768,32768,0
32768,32,2569070,14,1723387596,120127359,1,32768,32768,32768,0
32768,32,2570282,15,1718807940,126548975,2,1,16384,32767,2.68403e+08
32768,32,2577723,14,1726594796,117775415,1,32768,32768,32768,0
65536,16,5071114,14,827305336,744018515,1,65536,65536,65536,0
65536,16,5223131,14,577279098,219033021,1,65536,65536,65536,0
65536,16,5246438,15,519303921,205335304,2,1,32768,65535,1.07368e+09
65536,32,5389039,14,1811193853,212688889,1,65536,65536,65536,0
65536,32,5405727,14,1801014579,217577596,1,65536,65536,65536,0
65536,32,5416521,15,1767621515,224694305,2,1,32768,65535,1.07368e+09
84498,16,1483694,26,348235581,97709061,2,4,42249,84494,1.78464e+09
84498,32,1585940,26,1767530149,162358649,2,4,42249,84494,1.78464e+09
131072,16,11022528,14,801746781,433127793,1,131072,131072,131072,0
131072,16,11044708,14,814150425,445420524,1,131072,131072,131072,0
131072,32,11333574,14,2181034275,528461375,1,131072,131072,131072,0
131072,32,11357803,14,2195257884,546753693,1,131072,131072,131072,0
