n,k,M,p,r,Tp,Tc,f,cl,cm,cu,cv
4096,32,2723040,5,30145,1621463645,847076396,2,1,2048,4095,4.19021e+06
65536,1,16461116,6,1978,4078035078,9801352449,1,65536,65536,65536,0
65536,1,16521922,6,2121,4094707543,9797652472,1,65536,65536,65536,0
65536,1,16531706,6,2160,4114166075,9760592801,2,1,32768,65535,1.07368e+09
65536,2,16472994,6,3955,2114150622,4861585030,1,65536,65536,65536,0
65536,2,16534658,6,4241,2125014842,4870643707,1,65536,65536,65536,0
65536,2,16544676,6,4319,2132606041,4929037665,2,1,32768,65535,1.07368e+09
65536,4,16520474,6,7909,1097262324,2371404050,1,65536,65536,65536,0
65536,4,16585570,6,8481,1091209993,2370932873,1,65536,65536,65536,0
65536,4,16596524,6,8637,1100346058,2388882097,2,1,32768,65535,1.07368e+09
65536,8,16710330,6,15817,588378986,1339224173,1,65536,65536,65536,0
65536,8,16789154,6,16961,593235834,1328311612,1,65536,65536,65536,0
65536,8,16803852,6,17273,592675679,1325873095,2,1,32768,65535,1.07368e+09
8192,16,2177178,5,16417,526192653,370795389,1,8192,8192,8192,0
8192,16,2209238,5,16961,631136331,424559159,1,8192,8192,8192,0
8192,16,2517902,6,21825,501165959,465532432,1,8192,8192,8192,0
8192,32,3753338,5,32833,1670096717,1064320800,1,8192,8192,8192,0
8192,32,3837622,5,33921,1743516576,1072786321,1,8192,8192,8192,0
8192,32,4613262,6,43649,1681097853,1318921492,1,8192,8192,8192,0
131072,1,34088082,6,2373,9284043989,22364425574,3,1,43690.7,131070,3.81757e+09
131072,1,34143560,6,2288,9195221442,22496456292,1,131072,131072,131072,0
131072,1,34151068,6,2264,9219823478,22107671041,1,131072,131072,131072,0
131072,2,34102330,6,4745,4850900016,11296203710,3,1,43690.7,131070,3.81757e+09
131072,2,34157298,6,4575,4779374821,11315639590,1,131072,131072,131072,0
131072,2,34164662,6,4527,4864709238,11381522293,1,131072,131072,131072,0
131072,4,34159290,6,9489,2445635443,5254753072,3,1,43690.7,131070,3.81757e+09
131072,4,34212218,6,9149,2421304234,5240235536,1,131072,131072,131072,0
131072,4,34219006,6,9053,2430418247,5234111900,1,131072,131072,131072,0
131072,8,34387066,6,18977,1306652411,2827139258,3,1,43690.7,131070,3.81757e+09
131072,8,34431834,6,18297,1307911850,2785308876,1,131072,131072,131072,0
131072,8,34436318,6,18105,1308682985,2800457495,1,131072,131072,131072,0
16384,16,4055558,5,18561,551838586,504163981,1,16384,16384,16384,0
16384,16,4120022,5,20449,606518333,543799541,1,16384,16384,16384,0
16384,16,4199314,5,23361,578676207,596622910,1,16384,16384,16384,0
16384,32,5837542,5,37121,1674097149,1328077293,1,16384,16384,16384,0
16384,32,6083254,5,40897,1680108896,1447945750,1,16384,16384,16384,0
16384,32,6442098,5,46721,1695818313,1591140516,1,16384,16384,16384,0
262144,1,70554124,6,2322,20577698016,48471993214,1,262144,262144,262144,0
262144,1,70580290,6,2509,20716510536,48700912916,1,262144,262144,262144,0
262144,1,76551326,7,3289,20321437571,51822145600,2,1,131072,262143,1.71796e+10
262144,2,70568066,6,4643,10823771799,25344251197,1,262144,262144,262144,0
262144,2,70595354,6,5017,10902865256,25398784684,1,262144,262144,262144,0
262144,2,76571072,7,6577,10851632753,27787400076,2,1,131072,262143,1.71796e+10
262144,4,70623802,6,9285,5503285432,11781500675,1,262144,262144,262144,0
262144,4,70655578,6,10033,5462323660,11754548226,1,262144,262144,262144,0
262144,4,76650020,7,13153,5445722868,12812502845,2,1,131072,262143,1.71796e+10
262144,8,70846682,6,18569,2907219324,6231164587,1,262144,262144,262144,0
262144,8,70896410,6,20065,2900702420,6245336030,1,262144,262144,262144,0
262144,8,76965740,7,26305,2896623580,6853438107,2,1,131072,262143,1.71796e+10
32768,16,7870034,5,20449,786157129,1072436357,1,32768,32768,32768,0
32768,16,8040478,5,26145,653266284,832312271,1,32768,32768,32768,0
32768,16,8775930,6,25233,650841731,850465089,1,32768,32768,32768,0
32768,32,10550526,5,52289,1688842415,2054042910,1,32768,32768,32768,0
32768,32,11198458,6,50465,1711130354,2064604803,1,32768,32768,32768,0
32768,32,9833266,5,40897,1727639369,1715960381,1,32768,32768,32768,0
524288,1,157872204,7,4393,44754065547,112349502020,1,524288,524288,524288,0
524288,1,158061836,7,4127,45521185793,113092074755,1,524288,524288,524288,0
524288,1,158071596,7,3409,45488802287,112766210317,1,524288,524288,524288,0
524288,2,157898574,7,8785,24328971896,62192691392,1,524288,524288,524288,0
524288,2,158086610,7,8253,24227099931,62102847214,1,524288,524288,524288,0
524288,2,158092062,7,6817,24240158893,61977428882,1,524288,524288,524288,0
524288,4,158004018,7,17569,12220786283,28732781947,1,524288,524288,524288,0
524288,4,158173890,7,13633,12221695712,28842248019,1,524288,524288,524288,0
524288,4,158185670,7,16505,12228563667,28699217406,1,524288,524288,524288,0
524288,8,158425722,7,35137,6468708776,15143278169,1,524288,524288,524288,0
524288,8,158501130,7,27265,6477895497,15261977406,1,524288,524288,524288,0
524288,8,158581838,7,33009,6492833922,15264669842,1,524288,524288,524288,0
65536,16,17469626,6,31633,792867333,1348338410,1,65536,65536,65536,0
65536,16,17603362,6,33921,824124162,1421798307,1,65536,65536,65536,0
65536,16,17633036,6,34545,826764321,1391916668,2,1,32768,65535,1.07368e+09
65536,32,20506554,6,63265,1803294575,2985906387,1,65536,65536,65536,0
65536,32,20859938,6,67841,1217081310,2509108695,1,65536,65536,65536,0
65536,32,20949516,6,69089,1864565230,3175661539,2,1,32768,65535,1.07368e+09
1048576,1,299739224,6,4064,99321006434,227649461717,1,1048576,1.04858e+06,1048576,0
1048576,1,324671744,7,4649,100628568353,248254496572,1,1048576,1.04858e+06,1048576,0
1048576,1,324917936,7,5127,99077425798,245819507115,1,1048576,1.04858e+06,1048576,0
1048576,2,299763618,6,8127,54290070789,127334127513,1,1048576,1.04858e+06,1048576,0
1048576,2,324699650,7,9297,54703147434,138817130478,1,1048576,1.04858e+06,1048576,0
1048576,2,324948710,7,10253,54810568596,137814556474,1,1048576,1.04858e+06,1048576,0
1048576,4,299861162,6,16253,27119797178,59027309098,1,1048576,1.04858e+06,1048576,0
1048576,4,324811238,7,18593,27257341975,64234828508,1,1048576,1.04858e+06,1048576,0
1048576,4,325071770,7,20505,27180059151,65284300558,1,1048576,1.04858e+06,1048576,0
1048576,8,300251274,6,32505,14373149513,31614169495,1,1048576,1.04858e+06,1048576,0
1048576,8,325257518,7,37185,14385400825,34509815135,1,1048576,1.04858e+06,1048576,0
1048576,8,325563938,7,41009,14350788488,34537548639,1,1048576,1.04858e+06,1048576,0
131072,16,35298042,6,37953,1169714490,2272330871,3,1,43690.7,131070,3.81757e+09
131072,16,35305438,6,36209,1252582430,2245294910,1,131072,131072,131072,0
131072,16,35310170,6,36593,1230628219,2238744538,1,131072,131072,131072,0
131072,32,38781662,6,72417,2130829351,4183190628,1,131072,131072,131072,0
131072,32,38823258,6,73185,2155808593,4269120169,1,131072,131072,131072,0
131072,32,38941690,6,75905,2131271925,4356744130,3,1,43690.7,131070,3.81757e+09
262144,16,71738074,6,37137,2040300420,4105768830,1,262144,262144,262144,0
262144,16,71859610,6,40129,2013884416,4116022665,1,262144,262144,262144,0
262144,16,78228476,7,52609,2040294038,4710856591,2,1,131072,262143,1.71796e+10
262144,32,75303386,6,74273,2501143308,5681329134,1,262144,262144,262144,0
262144,32,75712154,6,80257,2581738686,5925753627,1,262144,262144,262144,0
262144,32,83279132,7,105217,2609949138,7404040391,2,1,131072,262143,1.71796e+10
524288,16,159809946,7,54529,3855138407,9177755154,1,524288,524288,524288,0
524288,16,160112394,7,70273,3920042651,9412879420,1,524288,524288,524288,0
524288,16,160166366,7,66017,3896662634,9465698888,1,524288,524288,524288,0
524288,32,165044922,7,109057,3702207130,10338216509,1,524288,524288,524288,0
524288,32,166504190,7,132033,3676415664,11378739720,1,524288,524288,524288,0
524288,32,166858794,7,140545,3749475899,11739451465,1,524288,524288,524288,0
1048576,16,301811594,6,65009,8384760418,18294292100,1,1048576,1.04858e+06,1048576,0
1048576,16,327042494,7,74369,8023631797,19501933286,1,1048576,1.04858e+06,1048576,0
1048576,16,327532466,7,82017,8387538847,19927569032,1,1048576,1.04858e+06,1048576,0
1048576,32,308052618,6,130017,5796510918,17105786096,1,1048576,1.04858e+06,1048576,0
1048576,32,334182110,7,148737,5593289653,18337638628,1,1048576,1.04858e+06,1048576,0
1048576,32,335406290,7,164033,5851861718,19304163734,1,1048576,1.04858e+06,1048576,0
