n,k,M,r,Tp,Tc,f,cl,cm,cu,cv
1024,2,48209,12,25293071,10386924,1,1024,1024,1024,0
1024,2,48518,14,25117774,10570516,1,1024,1024,1024,0
1024,2,48656,12,25738055,10740454,1,1024,1024,1024,0
2048,2,105741,14,45459802,23630943,1,2048,2048,2048,0
2048,2,106394,15,45513835,23638854,2,1,1024,2047,1.04653e+06
2048,2,106456,14,45859795,24630376,1,2048,2048,2048,0
4096,2,226310,12,90458802,53443471,1,4096,4096,4096,0
4096,2,227458,13,91492566,55039553,2,1,2048,4095,4.19021e+06
4096,2,228531,12,91105370,53916433,1,4096,4096,4096,0
8192,2,490919,14,197280966,129074116,1,8192,8192,8192,0
8192,2,491668,14,196600634,129980589,1,8192,8192,8192,0
8192,2,494185,12,199050237,132286613,1,8192,8192,8192,0
16384,2,1046168,14,441613251,303560883,1,16384,16384,16384,0
16384,2,1052808,14,441772194,303501402,1,16384,16384,16384,0
16384,2,1056296,14,443632385,305077929,1,16384,16384,16384,0
32768,2,2237085,14,982012976,687622401,1,32768,32768,32768,0
32768,2,2239646,14,1001655921,701328315,1,32768,32768,32768,0
32768,2,2246554,14,993914106,702557751,1,32768,32768,32768,0
65536,2,4749958,14,2208909832,1623046629,1,65536,65536,65536,0
65536,2,4756977,14,2213500495,1622408915,1,65536,65536,65536,0
65536,2,4759250,15,2208232239,1608316544,2,1,32768,65535,1.07368e+09
131072,2,10049243,14,9904677420,11892518266,1,131072,131072,131072,0
131072,2,10049487,14,5007875617,3670630526,1,131072,131072,131072,0
131072,2,10068070,16,5039313204,3706779655,3,1,43690.7,131070,3.81757e+09
262144,2,21218711,14,11230343749,8332935171,1,262144,262144,262144,0
262144,2,21222766,15,20772199479,8480433043,2,1,131072,262143,1.71796e+10
262144,2,21232370,14,11223499088,8515529902,1,262144,262144,262144,0
524288,2,44627810,16,50142019173,61417487604,1,524288,524288,524288,0
524288,2,44639992,14,25229232700,19565664793,1,524288,524288,524288,0
524288,2,44640200,14,24978253863,19099419346,1,524288,524288,524288,0
1048576,2,93545357,16,113765303196,141904114204,1,1048576,1.04858e+06,1048576,0
1048576,2,93571760,16,112478880667,140874575916,1,1048576,1.04858e+06,1048576,0
1048576,2,93623540,16,113007446494,142546539130,1,1048576,1.04858e+06,1048576,0
