n,k,M,r,Tp,Tc,f,cl,cm,cu,cv
1024,32,104852,12,1341446248,37041626,1,1024,1024,1024,0
1024,32,105472,12,1708956029,52807666,1,1024,1024,1024,0
1024,32,113297,14,1428335353,34627981,1,1024,1024,1024,0
2048,32,178069,14,1722648040,39376980,1,2048,2048,2048,0
2048,32,178915,14,1644787537,38597149,1,2048,2048,2048,0
2048,32,183085,15,1706840049,40736834,2,1,1024,2047,1.04653e+06
4096,32,304725,12,1667318331,42419425,1,4096,4096,4096,0
4096,32,307353,12,1677073817,43596001,1,4096,4096,4096,0
4096,32,310413,13,1704601640,44670905,2,1,2048,4095,4.19021e+06
8192,32,605229,12,1703857352,60136571,1,8192,8192,8192,0
8192,32,609827,14,1689285142,65103912,1,8192,8192,8192,0
8192,32,610593,14,1735144536,56738549,1,8192,8192,8192,0
16384,32,1226288,14,1491234900,280162831,1,16384,16384,16384,0
16384,32,1240312,14,1794939599,75560160,1,16384,16384,16384,0
16384,32,1244384,14,1737359110,81520831,1,16384,16384,16384,0
32768,32,2569917,14,1716310118,117719015,1,32768,32768,32768,0
32768,32,2572703,14,1711218184,117980040,1,32768,32768,32768,0
32768,32,2580591,14,1731985420,121340692,1,32768,32768,32768,0
65536,32,5392520,14,1898683876,232284380,1,65536,65536,65536,0
65536,32,5399629,14,1809907533,216448018,1,65536,65536,65536,0
65536,32,5406869,15,1817269770,214605251,2,1,32768,65535,1.07368e+09
131072,32,11345554,14,2194309964,526126798,1,131072,131072,131072,0
131072,32,11346097,14,2130557439,535690801,1,131072,131072,131072,0
131072,32,11374953,16,2160442258,532960348,3,1,43690.7,131070,3.81757e+09
262144,32,22529232,14,3721216747,4860313881,1,262144,262144,262144,0
262144,32,23900733,15,2592407227,1060651437,2,1,131072,262143,1.71796e+10
262144,32,23907503,14,2592822359,1054174567,1,262144,262144,262144,0
1048576,32,105121203,16,5764092585,5129733930,1,1048576,1.04858e+06,1048576,0
