n,k,M,p,r,Tp,Tc,f,cl,cm,cu,cv
4096,32,381322,4,3809,1727481487,169457611,2471,1,1.65763,39,4.06247
4096,32,495276,4,5569,1697016365,189864388,2446,1,1.67457,55,5.047
4096,32,587484,5,6657,1685009240,217932919,2422,1,1.69116,51,6.39512
65536,1,2509522,5,293,545352054,1852559596,39506,1,1.65889,106,5.21974
65536,1,2533224,5,306,539572902,1881798413,39244,1,1.66996,85,5.38481
65536,1,2548128,5,351,541547247,1893587392,39103,1,1.67598,156,6.74595
65536,2,2511288,5,585,273868344,933800051,39506,1,1.65889,106,5.21974
65536,2,2535068,5,611,275346914,948557765,39244,1,1.66996,85,5.38481
65536,2,2550242,5,701,276971555,946821559,39103,1,1.67598,156,6.74595
65536,4,2518324,5,1169,140195839,436974891,39506,1,1.65889,106,5.21974
65536,4,2542416,5,1221,141694832,444771979,39244,1,1.66996,85,5.38481
65536,4,2558670,5,1401,139365180,447670768,39103,1,1.67598,156,6.74595
65536,8,2546412,5,2337,83066636,242659143,39506,1,1.65889,106,5.21974
65536,8,2571752,5,2441,83446542,251323794,39244,1,1.66996,85,5.38481
65536,8,2592326,5,2801,82104411,250134630,39103,1,1.67598,156,6.74595
8192,16,356946,4,2545,521813351,69635915,4929,1,1.662,42,4.20306
8192,16,495026,5,5649,518057288,117576898,4945,1,1.65662,132,8.72335
8192,16,519144,5,6177,501894199,125581766,4856,1,1.68699,231,14.9914
8192,32,1037458,5,11297,1661484083,329623003,4945,1,1.65662,132,8.72335
8192,32,1112264,5,12353,1682980930,352996529,4856,1,1.68699,231,14.9914
8192,32,601362,4,5089,1667564304,195210817,4929,1,1.662,42,4.20306
131072,1,5016426,5,455,1142767605,3902980472,79422,1,1.65032,334,11.0834
131072,1,5056510,5,331,1140123251,4056966869,78604,1,1.6675,101,5.56325
131072,1,5083600,5,393,1152563601,4082975226,78257,1,1.67489,134,5.82269
131072,2,5019164,5,909,567905604,2002946082,79422,1,1.65032,334,11.0834
131072,2,5058504,5,661,575907626,2044676750,78604,1,1.6675,101,5.56325
131072,2,5085966,5,785,577183223,2039866124,78257,1,1.67489,134,5.82269
131072,4,5030088,5,1817,280725219,942039207,79422,1,1.65032,334,11.0834
131072,4,5066452,5,1321,285611976,961388274,78604,1,1.6675,101,5.56325
131072,4,5095402,5,1569,283773026,969709909,78257,1,1.67489,134,5.82269
131072,8,5073728,5,3633,151067209,515109824,79422,1,1.65032,334,11.0834
131072,8,5098188,5,2641,148924429,520303742,78604,1,1.6675,101,5.56325
131072,8,5133090,5,3137,152266384,523384120,78257,1,1.67489,134,5.82269
16384,16,758864,5,3969,515502708,113396931,9840,1,1.66504,80,5.39085
16384,16,784798,5,4833,536313599,123753434,9845,1,1.6642,65,5.37916
16384,16,789732,5,4961,497965102,122666370,9840,1,1.66504,79,5.35162
16384,32,1140016,5,7937,1645166473,283888064,9840,1,1.66504,80,5.39085
16384,32,1248894,5,9665,1609487969,326609430,9845,1,1.6642,65,5.37916
16384,32,1266116,5,9921,1677700391,323517432,9840,1,1.66504,79,5.35162
262144,1,10052276,5,365,2392493228,8781755663,157965,1,1.65951,117,5.55779
262144,1,10068870,5,385,2370786195,8858479237,157646,1,1.66286,119,5.1989
262144,1,10113812,5,312,2381738336,8584914453,157112,1,1.66852,128,5.37445
262144,2,10054474,5,729,1198875553,4401316258,157965,1,1.65951,117,5.55779
262144,2,10071188,5,769,1205124106,4358520329,157646,1,1.66286,119,5.1989
262144,2,10115692,5,623,1212611654,4446018688,157112,1,1.66852,128,5.37445
262144,4,10063238,5,1457,587110382,2095579047,157965,1,1.65951,117,5.55779
262144,4,10080432,5,1537,598565061,2071444421,157646,1,1.66286,119,5.1989
262144,4,10123184,5,1245,599665420,2088774643,157112,1,1.66852,128,5.37445
262144,8,10098238,5,2913,296677642,1119384292,157965,1,1.65951,117,5.55779
262144,8,10117352,5,3073,295211584,1122127372,157646,1,1.66286,119,5.1989
262144,8,10153096,5,2489,296501688,1121481756,157112,1,1.66852,128,5.37445
32768,16,1386002,5,3985,507815599,144440174,19717,1,1.66192,88,5.14654
32768,16,1397130,5,3841,520974559,142389872,19521,1,1.6786,86,5.57305
32768,16,1414826,5,4897,496714750,159601844,19729,1,1.66091,91,5.53335
32768,32,1765994,5,7681,1735489038,321008452,19521,1,1.6786,86,5.57305
32768,32,1768690,5,7969,1681762621,321904872,19717,1,1.66192,88,5.14654
32768,32,1885066,5,9793,1637497313,364604175,19729,1,1.66091,91,5.53335
524288,1,20181858,5,393,5019754986,18555607684,314880,1,1.66504,136,5.42143
524288,1,20194824,5,369,5054623362,18595814108,314721,1,1.66588,134,5.38515
524288,1,20197686,5,363,5004203772,18748382962,314706,1,1.66596,141,5.70531
524288,2,20184224,5,785,2495377702,9471754638,314880,1,1.66504,136,5.42143
524288,2,20197046,5,737,2514072579,9467861775,314721,1,1.66588,134,5.38515
524288,2,20199872,5,725,2520459751,9528136329,314706,1,1.66596,141,5.70531
524288,4,20193660,5,1569,1214839203,4484445504,314880,1,1.66504,136,5.42143
524288,4,20205906,5,1473,1230255850,4519691015,314721,1,1.66588,134,5.38515
524288,4,20208588,5,1449,1221463094,4502563383,314706,1,1.66596,141,5.70531
524288,8,20231348,5,3137,606157944,2419607731,314880,1,1.66504,136,5.42143
524288,8,20241290,5,2945,599573899,2398327281,314721,1,1.66588,134,5.38515
524288,8,20243396,5,2897,605904268,2416849358,314706,1,1.66596,141,5.70531
65536,16,2658652,5,4673,522433508,221534372,39506,1,1.65889,106,5.21974
65536,16,2688984,5,4881,548237628,227191184,39244,1,1.66996,85,5.38481
65536,16,2726838,5,5601,521739954,244273558,39103,1,1.67598,156,6.74595
65536,32,3107388,5,9345,1629998535,415829252,39506,1,1.65889,106,5.21974
